player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Kjell-Arik Wätjen,Dortmund,2024-25,MF,18.0,16,0,0,0,0,0,0,0
Ko Itakura,Gladbach,2024-25,DF,27.0,2790,3,0,21,7,12,40,28
Koji Miyoshi,Bochum,2024-25,FW,27.0,464,1,0,12,5,5,8,2
Konrad Laimer,Bayern Munich,2024-25,DF,27.0,1699,2,2,18,20,17,49,8
Konstantinos Koulierakis,Wolfsburg,2024-25,DF,20.0,2468,0,2,22,10,7,40,33
Kosta Nedeljković,RB Leipzig,2024-25,DF,18.0,479,0,0,4,3,1,11,2
Kristijan Jakić,Augsburg,2024-25,MF,27.0,2306,0,1,18,16,14,46,28
Lars Ritzka,St. Pauli,2024-25,DF,26.0,922,1,0,8,5,0,49,11
Lasse Rieß,Mainz 05,2024-25,GK,23.0,180,0,0,0,0,0,0,0
Lasse Rosenboom,Holstein Kiel,2024-25,DF,22.0,1734,2,2,12,14,7,47,19
Lee Jae-sung,Mainz 05,2024-25,MF,31.0,2650,7,6,40,34,11,42,35
Lennard Maloney,Heidenheim,2024-25,MF,24.0,786,0,0,3,1,1,22,14
Leo Skiri Østigård,Hoffenheim,2024-25,DF,24.0,927,0,0,5,3,2,9,9
Leon Goretzka,Bayern Munich,2024-25,MF,29.0,1325,4,1,32,12,7,21,20
Leonardo Bittencourt,Werder Bremen,2024-25,MF,30.0,982,2,1,27,14,1,25,15
Leonidas Stergiou,Stuttgart,2024-25,DF,22.0,852,1,2,3,4,4,24,14
Leopold Querfeld,Union Berlin,2024-25,DF,20.0,1747,2,2,16,10,3,25,19
Leroy Sané,Bayern Munich,2024-25,FW,28.0,1637,11,5,67,36,39,23,7
Lewis Holtby,Holstein Kiel,2024-25,MF,33.0,1238,0,1,7,21,7,34,21
Lovro Majer,Wolfsburg,2024-25,MF,26.0,304,2,1,6,8,5,2,1
Loïs Openda,RB Leipzig,2024-25,FW,24.0,2453,9,5,77,28,22,9,5
Luca Jaquez,Stuttgart,2024-25,DF,21.0,253,0,0,1,0,0,3,3
Luca Kerber,Heidenheim,2024-25,MF,22.0,783,2,0,7,6,1,26,5
Luca Netz,Gladbach,2024-25,DF,21.0,969,0,2,3,16,6,24,10
Luca Philipp,Hoffenheim,2024-25,GK,23.0,540,0,0,0,0,0,1,0
Lucas Höler,Freiburg,2024-25,FW,30.0,1867,6,4,34,22,18,37,7
Lucas Tousart,Union Berlin,2024-25,MF,27.0,561,0,1,9,3,5,17,7
Lukas Daschner,Bochum,2024-25,MF,25.0,412,1,1,8,6,5,4,0
Lukas Klostermann,RB Leipzig,2024-25,DF,28.0,1838,1,0,4,2,4,27,24
Lukas Kübler,Freiburg,2024-25,DF,31.0,1842,5,1,18,11,0,40,53
Lukas Nmecha,Wolfsburg,2024-25,FW,25.0,467,3,0,20,3,4,2,2
Lukas Ullrich,Gladbach,2024-25,DF,20.0,1903,1,2,8,8,8,25,23
Lukáš Hrádecký,Leverkusen,2024-25,GK,34.0,2610,0,0,0,0,0,0,0
Lutsharel Geertruida,RB Leipzig,2024-25,DF,24.0,1557,1,0,8,10,7,35,16
László Bénes,Union Berlin,2024-25,MF,26.0,589,2,1,19,19,1,2,3
Léo Scienza,Heidenheim,2024-25,FW,25.0,1153,3,3,38,34,37,17,5
Maarten Vandevoordt,RB Leipzig,2024-25,GK,22.0,429,0,0,0,0,0,1,0
Mads Pedersen,Augsburg,2024-25,DF,27.0,235,0,0,2,0,2,8,2
Mads Roerslev,Wolfsburg,2024-25,DF,25.0,298,0,0,0,1,2,10,5
Magnus Knudsen,Holstein Kiel,2024-25,MF,23.0,1850,0,1,12,8,9,48,12
Mahmoud Dahoud,Eint Frankfurt,2024-25,MF,28.0,364,1,1,7,8,1,9,2
Manolis Saliakas,St. Pauli,2024-25,MF,27.0,2314,2,1,29,26,3,46,20
Manuel Neuer,Bayern Munich,2024-25,GK,38.0,1980,0,0,0,1,1,1,0
Marcel Sabitzer,Dortmund,2024-25,MF,30.0,1616,1,0,21,12,6,29,10
Marco Friedl,Werder Bremen,2024-25,DF,26.0,2161,0,0,4,3,6,62,34
Marco Grüll,Werder Bremen,2024-25,FW,26.0,1181,6,1,25,11,13,12,3
Marco Komenda,Holstein Kiel,2024-25,DF,27.0,1307,0,0,3,9,1,26,6
Marin Ljubicic,Union Berlin,2024-25,FW,22.0,281,1,1,2,2,1,2,0
Mario Götze,Eint Frankfurt,2024-25,MF,32.0,1542,3,2,8,34,9,41,7
Mario Hermoso,Leverkusen,2024-25,DF,29.0,293,0,0,4,2,3,0,9
Marius Bülter,Hoffenheim,2024-25,FW,31.0,1729,7,2,37,22,24,13,4
Marius Müller,Wolfsburg,2024-25,GK,31.0,475,0,0,0,0,0,0,0
Marius Wolf,Augsburg,2024-25,DF,29.0,2144,1,3,12,45,19,27,24
Marko Ivezić,Holstein Kiel,2024-25,DF,22.0,1657,0,0,7,4,4,29,27
Marnon Busch,Heidenheim,2024-25,DF,29.0,1396,0,1,13,12,3,26,13
Martin Terrier,Leverkusen,2024-25,MF,27.0,584,2,1,16,8,2,4,1
Marvin Ducksch,Werder Bremen,2024-25,FW,30.0,2418,8,8,70,61,7,10,8
Marvin Friedrich,Gladbach,2024-25,DF,28.0,989,0,1,7,3,2,15,5
Marvin Pieringer,Heidenheim,2024-25,FW,24.0,2206,7,4,57,30,16,23,8
Marvin Schulz,Holstein Kiel,2024-25,MF,29.0,306,0,0,3,4,1,6,0
Matej Kovar,Leverkusen,2024-25,GK,24.0,450,0,0,0,0,0,0,0
Mathias Honsak,Heidenheim,2024-25,FW,27.0,1181,5,1,29,14,9,15,10
Mathys Tel,Bayern Munich,2024-25,FW,19.0,256,0,1,10,1,6,2,1
